name,birth_place
"Boo Junfeng, Eric Khoo, Jack Neo, K. Rajagopal, Tan Pin Pin, Royston Tan and Kelvin Tong",NaN
Andrew Haigh,"Harrogate, North Yorkshire, England, UK"
Robert Pulcini and Shari Springer Berman,NaN
Robert Pulcini and Shari Springer Berman,NaN
Travis Wilkerson,"Denver, Colorado, USA"
Gina Prince-Bythewood,USA
Robert Greene,"Charlotte, North Carolina, USA"
Jacob Krupnick,NaN
Michael Mann,"Chicago, Illinois, USA"
John Crowley,"Cork, Ireland"
Dan Gilroy,"Santa Monica, California, USA"
Jeff Nichols,"Little Rock, Arkansas, USA"
Asif Kapadia,"Hackney, London, England, UK"
Noah Baumbach,"Brooklyn, New York City, New York, USA"
Yorgos Lanthimos,"Athens, Greece"
Andrzej Wajda,"Suwalki, Podlaskie, Poland"
Joanna Hogg,"London, England, UK"
Elia Suleiman,"Nazareth, Israel"
Jafar Panahi,"Mianeh, Azarbaijan Province, Iran"
Chris Buck and Jennifer Lee,NaN
Chris Buck and Jennifer Lee,NaN
Edgar Wright,"Poole, Dorset, England, UK"
Fatih Akin,"Hamburg, West Germany"
Alexander Payne,"Omaha, Nebraska, USA"
Destin Daniel Cretton,"Maui, Hawaii, USA"
Derek Cianfrance,"Lakewood, Colorado, USA"
Fabián Bielinsky,"Buenos Aires, Argentina"
Hong Sang-soo,"Seoul, Korea"
Greg Mottola,"Dix Hills, Long Island, New York, USA"
Kevin Costner,"Lynwood, California, USA"
John Gianvito,NaN
Frederick Wiseman,"Boston, Massachusetts, USA"
Sion Sono,"Toyokawa, Aichi, Japan"
Denis Villeneuve,"Trois-Rivières, Québec, Canada"
Damien Chazelle,"Providence, Rhode Island, USA"
David Michôd,NaN
Mel Gibson,"Peekskill, New York, USA"
Stevan Riley,NaN
Adam McKay,"Philadelphia, Pennsylvania, USA"
Paul Feig,"Mount Clemens, Michigan, USA"
Lynne Ramsay,"Glasgow, Strathclyde, Scotland, UK"
Miguel Arteta,"San Juan, Puerto Rico"
Ridley Scott,"South Shields, County Durham, England, UK"
Adam Curtis,"Dartford, Kent, England, UK"
Lukas Moodysson,"Malmö, Skåne län, Sweden"
Mojtaba Mirtahmasb and Jafar Panahi,NaN
Mojtaba Mirtahmasb and Jafar Panahi,NaN
James Gray,"New York City, New York, USA"
Laurie Anderson,"Glen Ellyn, Illinois, USA"
Béla Tarr and Ágnes Hranitzky,NaN
Béla Tarr and Ágnes Hranitzky,NaN
Jean-Gabriel Périot,"Bellac, Haute-Vienne, France"
Alain Guiraudie,"Villefranche-de-Rouergue, Aveyron, France"
Pedro Costa,"Lisbon, Portugal"
Albert Serra,"Banyoles, Girona, Catalonia, Spain"
Cristi Puiu,"Bucharest, Romania"
Ingmar Bergman,"Uppsala, Uppsala län, Sweden"
Ulrich Seidl,"Vienna, Austria"
Wang Bing,"Xi'an, Shaanxi, China"
Alain Cavalier,"Vendôme, Loir-et-Cher, France"
Ken Jacobs,"Williamsburg, Brooklyn, New York City, New York, USA"
Phil Solomon,"Manhattan, New York City, New York, USA"
What a Life!) (Ernie Gehr,NaN
What a Life!) (Ernie Gehr,NaN
Janie Geiser,"Baton Rouge, Louisiana, USA"
Nikolaus Geyrhalter,"Vienna, Austria"
Rajat Kapoor,"New Delhi, India"
Chaitanya Tamhane,"Mumbai, Maharashtra, India"
Dibakar Banerjee,"New Delhi, India"
Anurag Kashyap,"Gorakhpur, Uttar Pradesh, India"
Tigmanshu Dhulia,NaN
Vikramaditya Motwane,"Bombay, India"
Sudhir Mishra,NaN
Vishal Bhardwaj,NaN
Ashutosh Gowariker,"Kolhapur, Maharashtra, India"
Éric Rohmer,"Tulle, Corrèze, France"
Aleksey Fedorchenko,"Sol-Iletsk, Sol-Iletskiy rayon, Orenburgskaya oblast, RSFSR, USSR [now Russia]"
Michael Bay,"Los Angeles, California, USA"
Ryan Coogler,"Oakland, California, USA"
Rian Johnson,"Silver Spring, Maryland, USA"
Tsai Ming-liang,NaN
Sean Baker,"New York City, New York, USA"
Tony Scott,"North Shields, Northumberland, England, UK"
Carol Morley,"Stockport, Greater Manchester, England, UK"
Agnès Varda,"Ixelles, Belgium"
